Name,Rating,star cast
The Shawshank Redemption,9.2, Tim Robbins
The Godfather,9.1, Marlon Brando
The Godfather: Part II,9.0, Al Pacino
The Dark Knight,9.0, Christian Bale
12 Angry Men,8.9, Henry Fonda
Schindler's List,8.9, Liam Neeson
The Lord of the Rings: The Return of the King,8.9, Elijah Wood
Pulp Fiction,8.8, John Travolta
"Il buono, il brutto, il cattivo",8.8, Clint Eastwood
The Lord of the Rings: The Fellowship of the Ring,8.8, Elijah Wood
Fight Club,8.8, Brad Pitt
Forrest Gump,8.8, Tom Hanks
Inception,8.7, Leonardo DiCaprio
Star Wars: Episode V - The Empire Strikes Back,8.7, Mark Hamill
The Lord of the Rings: The Two Towers,8.7, Elijah Wood
The Matrix,8.6, Keanu Reeves
Goodfellas,8.6, Robert De Niro
One Flew Over the Cuckoo's Nest,8.6, Jack Nicholson
Shichinin no samurai,8.6, Toshirô Mifune
Se7en,8.6, Morgan Freeman
La vita è bella,8.6, Roberto Benigni
Cidade de Deus,8.6, Alexandre Rodrigues
The Silence of the Lambs,8.6, Jodie Foster
It's a Wonderful Life,8.6, James Stewart
Hamilton,8.6, Lin-Manuel Miranda
Star Wars,8.6, Mark Hamill
Saving Private Ryan,8.5, Tom Hanks
Sen to Chihiro no kamikakushi,8.5, Daveigh Chase
Gisaengchung,8.5, Kang-ho Song
The Green Mile,8.5, Tom Hanks
Interstellar,8.5, Matthew McConaughey
Léon,8.5, Jean Reno
The Usual Suspects,8.5, Kevin Spacey
Seppuku,8.5, Tatsuya Nakadai
The Lion King,8.5, Matthew Broderick
Back to the Future,8.5, Michael J. Fox
The Pianist,8.5, Adrien Brody
Terminator 2: Judgment Day,8.5, Arnold Schwarzenegger
American History X,8.5, Edward Norton
Modern Times,8.5, Charles Chaplin
Psycho,8.5, Anthony Perkins
Gladiator,8.5, Russell Crowe
City Lights,8.5, Charles Chaplin
The Departed,8.5, Leonardo DiCaprio
The Intouchables,8.5, François Cluzet
Whiplash,8.5, Miles Teller
The Prestige,8.5, Christian Bale
Hotaru no haka,8.5, Tsutomu Tatsumi
Once Upon a Time in the West,8.5, Henry Fonda
Casablanca,8.4, Humphrey Bogart
Nuovo Cinema Paradiso,8.4, Philippe Noiret
Rear Window,8.4, James Stewart
Alien,8.4, Sigourney Weaver
Apocalypse Now,8.4, Martin Sheen
Memento,8.4, Guy Pearce
Raiders of the Lost Ark,8.4, Harrison Ford
The Great Dictator,8.4, Charles Chaplin
Joker,8.4, Joaquin Phoenix
The Lives of Others,8.4, Ulrich Mühe
Django Unchained,8.4, Jamie Foxx
Paths of Glory,8.4, Kirk Douglas
The Shining,8.4, Jack Nicholson
WALL·E,8.4, Ben Burtt
Avengers: Infinity War,8.4, Robert Downey Jr.
Sunset Blvd.,8.4, William Holden
Spider-Man: Into the Spider-Verse,8.4, Shameik Moore
Mononoke-hime,8.4, Yôji Matsuda
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4, Peter Sellers
Witness for the Prosecution,8.4, Tyrone Power
Oldeuboi,8.4, Min-sik Choi
